max_vibration,mean_vibration,std_vibration,rms_vibration,peak_to_peak,kurtosis,crest_factor,hours_operation,RUL_hours
-0.01,-0.0655,0.05100653552895616,0.07900316449358216,0.12200000000000001,0.8402237268854336,-0.12657720803265585,0.0,3413.1666666666665
-0.007,-0.056749999999999995,0.04197122029835841,0.06739250700189153,0.09799999999999999,-0.9721119820256892,-0.10386911395678777,0.16666666666666666,3413.0
0.015,0.0055,0.00714142842854285,0.008276472678623425,0.015,-0.7097270280661281,1.812366258092721,0.3333333333333333,3412.833333333333
0.1,0.01675,0.06293581386354408,0.05701973342624464,0.151,1.2079040734439417,1.7537788028064478,0.5,3412.6666666666665
0.127,0.020999999999999998,0.09803060746521976,0.0874557030730415,0.23399999999999999,0.788926618885764,1.45216372851883,0.6666666666666666,3412.5
0.042,-0.073,0.10553356496079025,0.11697008164483771,0.254,1.2508522649626048,0.3590661763545669,0.8333333333333334,3412.333333333333
-0.007,-0.04525,0.06606751597166845,0.07294689849472696,0.13699999999999998,3.8527504800833263,-0.09596021400292956,1.0,3412.1666666666665
0.112,0.0335,0.06450581369148056,0.06513831437794503,0.158,1.5012014898300592,1.7194181473320396,1.1666666666666667,3412.0
0.076,-0.017500000000000005,0.11147047441662147,0.09810963255460699,0.22999999999999998,-2.938112106383878,0.7746436098436582,1.3333333333333333,3411.833333333333
0.068,0.03425,0.04330030792808137,0.05078631705489186,0.097,3.05912458577232,1.3389433179926904,1.5,3411.6666666666665
0.095,-0.0025000000000000005,0.07948375095997084,0.06888033100965761,0.185,-0.9089243909926132,1.3792035907719409,1.6666666666666667,3411.5
0.007,-0.02975,0.04530912343741232,0.04924175057814253,0.10200000000000001,2.4923918765426443,0.14215579063697192,1.8333333333333333,3411.333333333333
0.0,-0.056749999999999995,0.05032809023464596,0.07155592218677641,0.122,1.3138623196184707,0.0,2.0,3411.1666666666665
0.044,0.0002499999999999976,0.049304327058247804,0.042699531613356136,0.112,1.0945048989235762,1.0304562657823502,2.1666666666666665,3411.0
0.137,0.06775,0.05386015843521691,0.08225417922513117,0.13,1.0188324931996249,1.665568863783464,2.3333333333333335,3410.833333333333
0.098,0.03125,0.0714300356992771,0.06930548318856164,0.13,-5.893498428497892,1.4140295305634814,2.5,3410.6666666666665
0.081,-0.04875,0.0870646311655887,0.0897872485378631,0.186,3.752969142904668,0.9021325547761854,2.6666666666666665,3410.5
0.042,-0.06275,0.07527892578050425,0.09048618679113404,0.17900000000000002,2.170261797070598,0.4641592428967213,2.8333333333333335,3410.333333333333
0.037,0.0012500000000000002,0.03345021175817377,0.028995689334795956,0.074,-2.9371629078199017,1.2760517415253647,3.0,3410.1666666666665
0.176,0.040749999999999995,0.09110936651446253,0.0888045606936941,0.19599999999999998,3.591217151179123,1.9818801920418656,3.1666666666666665,3410.0
0.032,-0.008,0.03813135192987523,0.03397793401606401,0.076,-5.084312308312315,0.9417876875825453,3.3333333333333335,3409.833333333333
-0.024,-0.0585,0.03936580580486911,0.06770893589475468,0.091,2.676952571717628,-0.3544583834821928,3.5,3409.6666666666665
0.105,0.010499999999999999,0.07028276222991428,0.061765686266729035,0.16599999999999998,1.0430943716595653,1.6999730137631845,3.6666666666666665,3409.5
0.103,0.008499999999999997,0.08132445306712285,0.0709401155905458,0.184,-2.2067419402423756,1.4519288416346185,3.8333333333333335,3409.333333333333
-0.022,-0.07375,0.08466551836491644,0.10399639416825951,0.17800000000000002,3.7570137272657327,-0.21154579593645167,4.0,3409.1666666666665
0.071,0.0185,0.07350510186374822,0.06629102503355941,0.16099999999999998,3.393389904889311,1.0710348777523535,4.166666666666667,3409.0
0.239,0.06175,0.1299163192212587,0.1283423157029668,0.3,0.8994992247671156,1.8622073203581322,4.333333333333333,3408.833333333333
0.159,0.02025,0.11817324852379521,0.10432521267651458,0.266,-2.3135392869671367,1.5240802847975947,4.5,3408.6666666666665
0.151,0.027,0.08341462701469089,0.07712003630704539,0.18,3.662928707629508,1.9579866275349065,4.666666666666667,3408.5
0.007,-0.00175,0.007847504911329036,0.0070178344238090995,0.019,1.3620498021500698,0.9974586856175374,4.833333333333333,3408.333333333333
0.176,0.034749999999999996,0.10182133044374019,0.0947800084405989,0.242,2.0645632603995487,1.8569316748332072,5.0,3408.1666666666665
0.144,-0.0012500000000000046,0.10696222074483432,0.09264043393680753,0.256,1.6889528104002665,1.5543968624195617,5.166666666666667,3408.0
-0.046,-0.0745,0.02819574435974337,0.07839961734600495,0.064,-1.3120841738855233,-0.5867375568724035,5.333333333333333,3407.833333333333
0.088,-0.05125000000000001,0.09973088789337031,0.10043032410581976,0.237,2.2605398575594435,0.8762293729098661,5.5,3407.6666666666665
0.056,0.008,0.04602173399601541,0.040650953248355694,0.10500000000000001,-1.4275573995457815,1.3775814682650036,5.666666666666667,3407.5
0.122,0.063,0.05382688299849187,0.07837091297158659,0.124,-1.3933487775864482,1.5566999951699065,5.833333333333333,3407.333333333333
0.061,0.006000000000000001,0.0381051177665153,0.03354101966249685,0.088,2.8888888888888857,1.8186686162776065,6.0,3407.1666666666665
-0.012,-0.07575,0.06268107103956239,0.09319200609494357,0.13699999999999998,-3.071708141403736,-0.12876640915850462,6.166666666666667,3407.0
0.085,-0.032499999999999994,0.11102402142479498,0.10149384217774005,0.22200000000000003,-5.010102531686648,0.8374892317840891,6.333333333333333,3406.833333333333
0.129,0.012750000000000001,0.08543369748914456,0.07507829246859574,0.2,1.1194199867835248,1.7182063628063782,6.5,3406.6666666666665
0.002,-0.04025,0.07918911962300546,0.07951886568607477,0.161,3.988856677004673,0.025151264171454482,6.666666666666667,3406.5
0.0,-0.06475,0.07066057363669408,0.08909124536114646,0.154,-1.9314243761376346,0.0,6.833333333333333,3406.333333333333
0.095,0.0305,0.058255185749138814,0.05895337140486539,0.129,-2.9804277572499984,1.6114430366744963,7.0,3406.1666666666665
0.066,-0.018250000000000002,0.0754558369732477,0.06784725491867744,0.164,-3.477679146124867,0.9727733271129554,7.166666666666667,3406.0
0.022,-0.07524999999999998,0.08301957600469903,0.10407569360806586,0.20299999999999999,1.552139221052924,0.2113846107210237,7.333333333333333,3405.833333333333
